group,Team,Year,name,value,,,,,,,,,,,
D,WAS,14_15,Green,6.083,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Green"",""value"":6.083,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Niskanen,5.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Niskanen"",""value"":5.75,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Orpik,5.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Orpik"",""value"":5.5,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Carlson,3.967,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Carlson"",""value"":3.967,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Alzner,2.8,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Alzner"",""value"":2.8,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Orlov,2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Orlov"",""value"":2,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Erskine,1.962,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Erskine"",""value"":1.962,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
D,WAS,14_15,Gleason,0.277,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Gleason"",""value"":0.277,""group"":""D"",""team"":""WAS"",""year"":""14_15""},"
G,WAS,14_15,Holtby,1.85,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Holtby"",""value"":1.85,""group"":""G"",""team"":""WAS"",""year"":""14_15""},"
G,WAS,14_15,Peters,0.95,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Peters"",""value"":0.95,""group"":""G"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Hillen,0.538,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hillen"",""value"":0.538,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Schultz,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Schultz"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Volpatti,0.445,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Volpatti"",""value"":0.445,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Schmidt,0.363,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Schmidt"",""value"":0.363,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,O'Brien,0.207,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""O'Brien"",""value"":0.207,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Brown,0.135,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brown"",""value"":0.135,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Schilling,0.067,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Schilling"",""value"":0.067,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Oleksy,0.047,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Oleksy"",""value"":0.047,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Copley,0.015,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Copley"",""value"":0.015,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Grubauer,0.01,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Grubauer"",""value"":0.01,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Conner,0.006,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Conner"",""value"":0.006,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Stephenson,0.005,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stephenson"",""value"":0.005,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
